AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_EMPLOYED,EXT_SOURCE_2,EXT_SOURCE_3
207000.0,465457.5,52641.0,-762,0.6048943383603742,0.0005272652387098
247500.0,1281712.5,48946.5,-1141,0.4253505221468029,0.7121551551910698
202500.0,495000.0,39109.5,-639,0.5317599965307688,0.2079641743053816
247500.0,254700.0,24939.0,-6982,0.6935206274920988,0.6144143775673561
112500.0,308133.0,15862.5,-1105,0.5606898594049499,0.6363761710860439
85500.0,152820.0,16456.5,365243,0.5191266804311161,0.1047946227497676
112500.0,900000.0,24750.0,-345,0.5479626352655883,
141606.0,810000.0,33120.0,-260,0.0125875656953968,0.4902575124990026
130500.0,781920.0,34443.0,365243,0.077534911185021,0.633031641417419
99000.0,900000.0,35824.5,-649,0.7400816968755699,
67500.0,331920.0,17077.5,-280,0.4127344161068856,0.6397075677637197
135000.0,225000.0,11074.5,-809,0.4530704545682325,0.2431864804420123
270000.0,593010.0,17122.5,365243,0.5746638509651143,0.180887977767074
630000.0,1125000.0,36292.5,-1093,0.6229959372837893,0.3328505641648731
180000.0,774000.0,28813.5,-831,0.5128407971420282,0.221335206354466
112500.0,142200.0,9387.0,-2189,0.2440078209202131,0.2721336844147212
256500.0,765000.0,38250.0,-6928,0.7838283816775964,0.6785676886853644
45000.0,454500.0,17739.0,-931,0.142870887589952,
292500.0,781920.0,33259.5,365243,0.5404883358234642,
157500.0,824823.0,24246.0,365243,0.6572714882743836,0.4031416766587513
85500.0,225000.0,15790.5,365243,0.3420278293317465,
270000.0,755190.0,38610.0,-817,0.7081894379461231,0.3740208032583212
112500.0,503676.0,34200.0,-321,0.344477840791565,
247500.0,270045.0,30595.5,365243,0.1173011930750817,0.190705947811054
112500.0,339241.5,16627.5,-778,0.4093357995240928,0.3589512285783967
202500.0,500490.0,48888.0,-1329,0.5549077290439568,0.1997705696341145
67500.0,1024740.0,52452.0,-830,0.360396242872698,
